date,hospital,wait_time
2023-07-10,AH,1.32
2023-07-11,AH,1.12
2023-07-12,AH,2.38
2023-07-13,AH,0.67
2023-07-14,AH,0.9
2023-07-15,AH,1.53
2023-07-16,AH,1.395
2023-07-17,AH,1.92
2023-07-18,AH,1.46
2023-07-19,AH,1.95
2023-07-20,AH,1.5
2023-07-21,AH,1.62
2023-07-22,AH,1.55
2023-07-23,AH,1.27
2023-07-24,AH,2.2
2023-07-25,AH,1.77
2023-07-26,AH,1.75
2023-07-27,AH,1.37
2023-07-28,AH,1.16
2023-07-29,AH,1.02
2023-07-30,AH,1.15
2023-07-31,AH,1.725
2023-08-01,AH,1.92
2023-08-02,AH,2.25
2023-08-03,AH,4.95
2023-08-04,AH,1.81
2023-08-05,AH,0.53
2023-08-06,AH,1.62
2023-08-07,AH,1.15
2023-08-08,AH,1.72
2023-08-09,AH,1.3
2023-08-10,AH,1.81
2023-08-11,AH,1.82
2023-08-12,AH,1.52
2023-08-13,AH,0.9
2023-08-14,AH,0.835
2023-08-15,AH,1.325
2023-08-16,AH,1.4
2023-08-17,AH,1.82
2023-08-18,AH,1.28
2023-08-19,AH,1.185
2023-08-20,AH,1.39
2023-08-21,AH,1.29
2023-08-22,AH,1.56
2023-08-23,AH,1.83
2023-08-24,AH,2.34
2023-08-25,AH,1.46
2023-08-26,AH,2.39
2023-08-27,AH,0.9
2023-08-28,AH,1.37
2023-08-29,AH,0.98
2023-08-30,AH,1.05
2023-08-31,AH,0.815
2023-09-01,AH,1.275
2023-09-02,AH,1.52
2023-09-03,AH,1.9166666666666667
2023-09-04,AH,1.3166666666666667
2023-09-05,AH,1.1166666666666667
2023-09-06,AH,0.9
2023-09-07,AH,1.4666666666666666
2023-09-08,AH,1.2583333333333333
2023-09-09,AH,1.8833333333333333
2023-09-10,AH,2.23
2023-09-11,AH,1.5750000000000002
2023-09-12,AH,1.68
2023-09-13,AH,1.73
2023-09-14,AH,1.55
2023-09-15,AH,1.18
2023-09-16,AH,1.08
2023-09-17,AH,1.46
2023-09-18,AH,1.32
2023-09-19,AH,1.54
2023-09-20,AH,2.6
2023-09-21,AH,3.48
2023-09-22,AH,1.33
2023-09-23,AH,0.56
2023-09-24,AH,1.43
2023-09-25,AH,1.3
2023-09-26,AH,0.78
2023-09-27,AH,1.8250000000000002
2023-09-28,AH,1.5
2023-09-29,AH,1.53
2023-09-30,AH,1.04
2023-10-01,AH,1.0
2023-10-02,AH,2.07
2023-10-03,AH,1.85
2023-10-04,AH,1.22
2023-10-05,AH,1.97
2023-10-06,AH,1.3
2023-10-07,AH,1.22
2023-10-08,AH,1.77
2023-10-09,AH,1.68
2023-10-10,AH,1.87
2023-10-11,AH,1.5350000000000001
2023-10-12,AH,1.45
2023-10-13,AH,1.4249999999999998
2023-10-14,AH,1.0
2023-10-15,AH,1.55
2023-10-16,AH,1.91
2023-10-17,AH,1.87
2023-10-18,AH,1.89
2023-10-19,AH,1.7
2023-10-20,AH,1.2
2023-10-21,AH,1.45
2023-10-22,AH,1.2
2023-10-23,AH,1.48
2023-10-24,AH,1.75
2023-10-25,AH,1.87
2023-10-26,AH,2.5
2023-10-27,AH,1.48
2023-10-28,AH,0.85
2023-10-29,AH,1.25
2023-10-30,AH,1.5
2023-10-31,AH,1.39
2023-11-01,AH,1.31
2023-11-02,AH,1.48
2023-11-03,AH,1.63
2023-11-04,AH,1.02
2023-11-05,AH,1.55
2023-11-06,AH,1.72
2023-11-07,AH,1.1400000000000001
2023-11-08,AH,1.2
2023-11-09,AH,1.56
2023-11-10,AH,1.88
2023-11-11,AH,1.42
2023-11-12,AH,1.39
2023-11-13,AH,1.68
2023-11-14,AH,1.03
2023-11-15,AH,1.45
2023-11-16,AH,1.56
2023-11-17,AH,1.79
2023-11-18,AH,0.99
2023-11-19,AH,1.605
2023-11-20,AH,1.7850000000000001
2023-11-21,AH,1.67
2023-11-22,AH,2.49
2023-11-23,AH,1.4500000000000002
2023-11-24,AH,1.85
2023-11-25,AH,1.45
2023-11-26,AH,2.16
2023-11-27,AH,1.04
2023-11-28,AH,1.46
2023-11-29,AH,1.69
2023-11-30,AH,1.86
2023-12-01,AH,1.66
2023-12-02,AH,1.34
2023-12-03,AH,1.27
2023-12-04,AH,1.53
2023-12-05,AH,2.45
2023-12-06,AH,2.065
2023-12-07,AH,1.45
2023-12-08,AH,1.8250000000000002
2023-12-09,AH,1.15
2023-12-10,AH,2.03
2023-12-11,AH,2.92
2023-12-12,AH,2.6
2023-12-13,AH,9.21
2023-12-14,AH,3.73
2023-12-15,AH,3.82
2023-12-16,AH,1.74
2023-12-17,AH,2.1
2023-12-18,AH,3.13
2023-12-19,AH,4.4
2023-12-20,AH,1.9100000000000001
2023-12-21,AH,1.675
2023-12-22,AH,4.18
2023-12-23,AH,1.03
2023-12-24,AH,0.95
2023-12-25,AH,1.45
2023-12-26,AH,2.5
2023-12-27,AH,3.88333333
2023-12-28,AH,6.96666667
2023-12-29,AH,2.85833333
2023-12-30,AH,1.58333333
2023-12-31,AH,1.43
2024-01-01,AH,1.57
2024-01-02,AH,1.73
2024-01-03,AH,1.85
2024-01-04,AH,2.285
2024-01-05,AH,1.26
2024-01-06,AH,2.25
2024-01-07,AH,1.39
2024-01-08,AH,1.42
2024-01-09,AH,1.87
2024-01-10,AH,1.62
2024-01-11,AH,1.35
2024-01-12,AH,1.64
2024-01-13,AH,0.8
2024-01-14,AH,1.585
2024-01-15,AH,1.445
2024-01-16,AH,1.85
2024-01-17,AH,1.39
2024-01-18,AH,1.57
2024-01-19,AH,2.175
2024-01-20,AH,1.6600000000000001
2024-01-21,AH,1.47
2024-01-22,AH,1.48
2024-01-23,AH,2.13
2024-01-24,AH,1.65
2024-01-25,AH,1.6749999999999998
2024-01-26,AH,1.78
2024-01-27,AH,1.21
2024-01-28,AH,1.065
2024-01-29,AH,1.45
2024-01-30,AH,1.87
2024-01-31,AH,1.635
2024-02-01,AH,0.92
2024-02-02,AH,1.17499999999999
2024-02-03,AH,1.435
2024-02-04,AH,1.63
2024-02-05,AH,2.17
2024-02-06,AH,1.46
2024-02-07,AH,1.62
2024-02-08,AH,1.38
2024-02-09,AH,1.32
2024-02-10,AH,2.43
2024-02-11,AH,1.32
2024-02-12,AH,1.66
2024-02-13,AH,1.64
2024-02-14,AH,1.75
2024-02-15,AH,1.64
2024-02-16,AH,0.87
2024-02-17,AH,1.715
2024-02-18,AH,1.24
2024-02-19,AH,1.55
2024-02-20,AH,2.42
2024-02-21,AH,2.1
2024-02-22,AH,1.99
2024-02-23,AH,1.85
2024-02-24,AH,1.58
2024-02-25,AH,0.92
2024-02-26,AH,1.37
2024-02-27,AH,1.81
2024-02-28,AH,1.28
2024-02-29,AH,2.63
2024-03-01,AH,2.48
2024-03-02,AH,1.07
2024-03-03,AH,1.25
2024-03-04,AH,1.51
2024-03-05,AH,1.46
2024-03-06,AH,1.33
2024-03-07,AH,0.69
2024-03-08,AH,1.74
2024-03-09,AH,1.18
2024-03-10,AH,1.25
2024-03-11,AH,1.55
2024-03-12,AH,1.96
2024-03-13,AH,1.58
2024-03-14,AH,2.13
2024-03-15,AH,1.33
2024-03-16,AH,1.3
2024-03-17,AH,1.45
2024-03-18,AH,1.5
2024-03-19,AH,1.25
2024-03-20,AH,1.37
2024-03-21,AH,1.59
2024-03-22,AH,1.36
2024-03-23,AH,1.04
2024-03-24,AH,1.015
2024-03-25,AH,1.51
2024-03-26,AH,0.825
2024-03-27,AH,1.4100000000000001
2024-03-28,AH,1.45
2024-03-29,AH,1.5
2024-03-30,AH,1.53
2024-03-31,AH,1.5
2024-04-01,AH,1.44
2024-04-02,AH,1.46
2024-04-03,AH,1.39
2024-04-04,AH,1.67
2024-04-05,AH,1.6
2024-04-06,AH,1.24
2024-04-07,AH,1.345
2024-04-08,AH,1.72
2024-04-09,AH,1.775
2024-04-10,AH,0.97
2024-04-11,AH,1.82
2024-04-12,AH,1.37
2024-04-13,AH,1.42
2024-04-14,AH,1.29
2024-04-15,AH,1.46
2024-04-16,AH,0.88
2024-04-17,AH,1.15
2024-04-18,AH,1.02
2024-04-19,AH,1.68
2024-04-20,AH,1.15
2024-04-21,AH,0.81
2024-04-22,AH,1.7
2024-04-23,AH,1.26
2024-04-24,AH,1.19
2024-04-25,AH,1.12
2024-04-26,AH,1.55
2024-04-27,AH,1.37
2024-04-28,AH,1.4
2024-04-29,AH,1.825
2024-04-30,AH,2.23
2024-05-01,AH,1.25
2024-05-02,AH,1.52
2024-05-03,AH,1.12
2024-05-04,AH,1.4666666666666666
2024-05-05,AH,1.27
2024-05-06,AH,1.85
2024-05-07,AH,2.18
2024-05-08,AH,0.98
2024-05-09,AH,1.67
